open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,SMA_20,SMA_50,EMA_20,EMA_50
2024-11-16 09:00:00+00:00,0.9967,1.0559,0.9811,1.052,135289345.0,2024-11-16 09:59:59.999000+00:00,137858002.19450000,558220,74740919.00000000,76232956.31040000,0,,,1.052,1.052
2024-11-16 10:00:00+00:00,1.052,1.0739,1.0322,1.0678,111754435.0,2024-11-16 10:59:59.999000+00:00,117311551.16180000,531254,56178563.00000000,58974889.98040000,0,,,1.053504761904762,1.0526196078431374
2024-11-16 11:00:00+00:00,1.0678,1.089,1.0136,1.0493,185814717.0,2024-11-16 11:59:59.999000+00:00,195025973.59900000,668474,100536411.00000000,105722468.88180000,0,,,1.0531043083900227,1.0524894271434067
2024-11-16 12:00:00+00:00,1.0493,1.0632,1.0298,1.0606,70619439.0,2024-11-16 12:59:59.999000+00:00,73951911.44130000,316024,33371865.00000000,34994299.91650000,0,,,1.053818183781449,1.0528074888240575
2024-11-16 13:00:00+00:00,1.0605,1.1323,1.057,1.1153,147261420.0,2024-11-16 13:59:59.999000+00:00,161741778.50830000,450230,78020562.00000000,85654039.76750000,0,,,1.0596735948498825,1.0552581755368395
2024-11-16 14:00:00+00:00,1.1154,1.1999,1.1082,1.1942,239355371.0,2024-11-16 14:59:59.999000+00:00,275788506.92130000,671727,130518208.00000000,150382065.52760000,0,,,1.072485633435608,1.060706874535395
2024-11-16 15:00:00+00:00,1.1941,1.2698,1.018,1.1096,387027842.0,2024-11-16 15:59:59.999000+00:00,444840928.85600000,950394,184410783.00000000,212032192.00070000,0,,,1.0760203350131692,1.0626242520045952
2024-11-16 16:00:00+00:00,1.1094,1.1582,1.0839,1.1418,145317251.0,2024-11-16 16:59:59.999000+00:00,163334601.47240000,431670,75443333.00000000,84862859.71760000,0,,,1.082285065011915,1.0657291832985325
2024-11-16 17:00:00+00:00,1.1418,1.1655,1.1123,1.1242,80600722.0,2024-11-16 17:59:59.999000+00:00,91595119.78130000,253183,38721970.00000000,44027859.65320000,0,,,1.0862769635822087,1.0680221565025116
2024-11-16 18:00:00+00:00,1.1241,1.1799,1.1237,1.1741,66271354.0,2024-11-16 18:59:59.999000+00:00,76582290.53780000,230552,33702229.00000000,38967148.24360000,0,,,1.094641062288665,1.0721820719337858
2024-11-16 19:00:00+00:00,1.1741,1.2133,1.1542,1.1862,88265615.0,2024-11-16 19:59:59.999000+00:00,104621989.83570000,268921,44831881.00000000,53191620.84250000,0,,,1.103360961118316,1.0766533632305002
2024-11-16 20:00:00+00:00,1.1863,1.2025,1.1358,1.1658,83929516.0,2024-11-16 20:59:59.999000+00:00,98433294.50560000,279058,40606625.00000000,47625532.50760000,0,,,1.109307536249905,1.0801493097704804
2024-11-16 21:00:00+00:00,1.1658,1.1807,1.1207,1.1352,65691636.0,2024-11-16 21:59:59.999000+00:00,75184277.23500000,234500,31295714.00000000,35819484.64700000,0,,,1.1117734851784853,1.0823081603677165
2024-11-16 22:00:00+00:00,1.1353,1.1555,1.1034,1.1061,45276121.0,2024-11-16 22:59:59.999000+00:00,51190351.83580000,156896,21214847.00000000,24009879.83310000,0,,,1.1112331532567248,1.0832411736866296
2024-11-16 23:00:00+00:00,1.1061,1.1428,1.1055,1.1209,51977112.0,2024-11-16 23:59:59.999000+00:00,58521980.93060000,218304,24991598.00000000,28149626.13740000,0,,,1.1121538053275128,1.0847179904048012
2024-11-17 00:00:00+00:00,1.1208,1.1603,1.0856,1.1241,80565454.0,2024-11-17 00:59:59.999000+00:00,90445587.32380000,257016,41136598.00000000,46203294.73840000,0,,,1.113291538153464,1.0862623829379463
2024-11-17 01:00:00+00:00,1.1241,1.1277,1.0569,1.0755,68511676.0,2024-11-17 01:59:59.999000+00:00,74475913.15340000,214640,26840475.00000000,29238277.83100000,0,,,1.1096923440436102,1.0858403287050857
2024-11-17 02:00:00+00:00,1.0754,1.0817,1.0367,1.0657,87475725.0,2024-11-17 02:59:59.999000+00:00,92524605.44700000,277598,42813536.00000000,45329353.81340000,0,,,1.1055025969918377,1.0850505118931215
2024-11-17 03:00:00+00:00,1.0658,1.0711,1.0475,1.0607,39221317.0,2024-11-17 03:59:59.999000+00:00,41468368.95450000,126352,17622734.00000000,18636710.61830000,0,,,1.101235682992615,1.084095589858097
2024-11-17 04:00:00+00:00,1.0607,1.0645,1.0121,1.0373,88930058.0,2024-11-17 04:59:59.999000+00:00,91611458.36040000,238686,39225707.00000000,40403048.01190000,0,1.10832,,1.0951465703266516,1.0822604686871913
2024-11-17 05:00:00+00:00,1.0372,1.048,1.0026,1.0043,54545595.0,2024-11-17 05:59:59.999000+00:00,56021013.71680000,182118,24664334.00000000,25366519.56690000,0,1.1059350000000001,,1.0864945160098276,1.0792031954053405
2024-11-17 06:00:00+00:00,1.0042,1.0693,1.0032,1.0652,78228978.0,2024-11-17 06:59:59.999000+00:00,81718578.76490000,200070,45222835.00000000,47289559.27710000,0,1.105805,,1.0844664668660344,1.0786540504874842
2024-11-17 07:00:00+00:00,1.0652,1.0899,1.06,1.0681,100273523.0,2024-11-17 07:59:59.999000+00:00,108063013.29720000,232247,54217896.00000000,58425469.00780000,0,1.1067449999999999,,1.082907755735936,1.0782401661546417
2024-11-17 08:00:00+00:00,1.0682,1.1018,1.0503,1.0802,63668666.0,2024-11-17 08:59:59.999000+00:00,68357170.39350000,157965,34234006.00000000,36757864.41990000,0,1.1077249999999998,,1.0826498742372754,1.0783170223838714
2024-11-17 09:00:00+00:00,1.0802,1.0905,1.068,1.071,38709837.0,2024-11-17 09:59:59.999000+00:00,41712640.47080000,123568,19214351.00000000,20710368.98920000,0,1.1055100000000002,,1.081540362405154,1.078030080329602
2024-11-17 10:00:00+00:00,1.0711,1.0841,1.0552,1.0614,42817418.0,2024-11-17 10:59:59.999000+00:00,45877988.85790000,120052,20086537.00000000,21532248.01260000,0,1.09887,,1.0796222326522822,1.0773779203166762
2024-11-17 11:00:00+00:00,1.0614,1.0615,1.035,1.0366,54396421.0,2024-11-17 11:59:59.999000+00:00,56921368.98760000,147654,25748105.00000000,26947840.73390000,0,1.0952199999999999,,1.0755248771615886,1.0757787861866106
2024-11-17 12:00:00+00:00,1.0365,1.0809,1.0364,1.0767,42579922.0,2024-11-17 12:59:59.999000+00:00,45067721.06190000,135007,23955116.00000000,25377567.47580000,0,1.0919649999999999,,1.0756367936223896,1.0758149122185083
2024-11-17 13:00:00+00:00,1.0767,1.1476,1.0722,1.126,98383654.0,2024-11-17 13:59:59.999000+00:00,109639225.31010000,249142,53792791.00000000,59938083.98740000,0,1.092055,,1.0804332894678763,1.0777829548766062
2024-11-17 14:00:00+00:00,1.126,1.129,1.0888,1.1074,59073596.0,2024-11-17 14:59:59.999000+00:00,65139778.52100000,164833,27292626.00000000,30119379.19690000,0,1.08872,,1.0830015476137929,1.0789444076265433
2024-11-17 15:00:00+00:00,1.1074,1.1078,1.0718,1.0839,38448482.0,2024-11-17 15:59:59.999000+00:00,41741113.69390000,119660,17574914.00000000,19086563.01650000,0,1.083605,,1.0830871145077172,1.0791387445823653
2024-11-17 16:00:00+00:00,1.0839,1.0901,1.0702,1.0848,26054757.0,2024-11-17 16:59:59.999000+00:00,28169314.23050000,89783,12469547.00000000,13487770.38640000,0,1.079555,,1.0832502464593632,1.0793607545987431
2024-11-17 17:00:00+00:00,1.0847,1.0862,1.0625,1.0692,24816365.0,2024-11-17 17:59:59.999000+00:00,26689574.42740000,93521,10919106.00000000,11749516.81550000,0,1.076255,,1.0819121277489476,1.0789622936340866
2024-11-17 18:00:00+00:00,1.0692,1.076,1.0447,1.0491,31695385.0,2024-11-17 18:59:59.999000+00:00,33516379.53710000,93338,13063858.00000000,13822223.44950000,0,1.073405,,1.0787871632014288,1.077791223295495
